First Name,Last Name,Title,Inventory ID,Year,Materials,Dimension: Dimension 1 - Height,Dimension: Dimension 1 - Width,Dimension: Dimension 1 - Depth,Dimension: Dimension 1 - Units,Dimension: Dimension 1 - Notes,Object Status,Location,Price: Price 1,Price: Price 1 - Notes,Price: Price 2,Price: Price 2 - Notes,Price: Price 3,Price: Price 3 - Notes,Cost 1 - Type,Cost 1 - Amount,Cost 1 - Currency,Cost 1 - Date,Cost 1 - Notes,Payable 1 - Amount,Payable 1 - Currency,Payable 1 - Date,Payable 1 - Notes,Payable 1 - Paid?,Insurance 1 - Amount,Insurance 1 - Currency,Insurance 1 - Date,Insurance 1 - Notes,Appraisal 1 - Amount,Appraisal 1 - Currency,Appraisal 1 - Date,Appraisal 1 - Notes,Additional Info
,,,2393-2                   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chair by Jacques Adnet,2404                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hexagone table by Martino Gamper,2411                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2426                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,?Tjep? sculpture chair.,2429                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Arnold Circus chair by Martino Gamper,2436                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Arnold Circus chair by Martino Gamper,2437                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Arnold Circus stool by Martino Gamper,2438                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,245                      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,?Bombay Sapphire Light? ceiling lamps by Paul Cocksedge,2451-52                  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2453                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Floor lamp Ponte di Studio A.R.D.I.T.I,2464                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2486                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fractal cloud sculpture ceiling lamp by Arik Levy.,2520                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
